,Value
ASC_CAR,-0.9176118941918332
ASC_SM,-0.18824633852091505
B_AGE_1,-0.8735601933342658
B_AGE_2,0.5782128825683361
B_COST_CAR,-3.9841720735149635
B_COST_RAIL,-7.467704806411469
B_COST_SM,-6.692709594874304
B_FIRST,-0.13731106492511733
B_HE_RAIL,-0.5620894640038321
B_HE_SM,-0.12894361416671182
B_MALE,0.584069152108919
B_PURPOSE_1,0.39788345914836754
B_PURPOSE_2,-0.17764750554259096
B_PURPOSE_3,0.29752396361767663
B_PURPOSE_4,1.0724742779515077
B_TIME_CAR,-15.745841570568276
B_TIME_RAIL,-15.948797803760552
B_TIME_SM,-10.993558056724643
